country,vaccines,total_vaccinations
Czechia,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",17492052.0
Kenya,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",17327143.0
Uganda,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",17197954.0
Romania,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",16736886.0
Hungary,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",16429829.0
Guatemala,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",15845925.0
Switzerland,"Johnson&Johnson, Moderna, Pfizer/BioNTech",15635047.0
Dominican Republic,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",15484878.0
Hong Kong,"Pfizer/BioNTech, Sinovac",14944464.0
Singapore,"Moderna, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",13825593.0
Algeria,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",13704895.0
Azerbaijan,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",13425032.0
Denmark,"Johnson&Johnson, Moderna, Pfizer/BioNTech",13211743.0
Tunisia,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",13037269.0
Bolivia,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",12972370.0
Ghana,"Oxford/AstraZeneca, Sputnik V",12637542.0
Scotland,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",12115448.0
Honduras,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",11995048.0
Finland,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",11679339.0
Belarus,"Sinopharm/Beijing, Sputnik V",11634483.0
Norway,"Moderna, Pfizer/BioNTech",11269240.0
New Zealand,"Oxford/AstraZeneca, Pfizer/BioNTech",10950139.0
Ireland,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",10741777.0
Tajikistan,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",10439469.0
El Salvador,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",10418549.0
Cote d'Ivoire,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",10364488.0
Costa Rica,"Oxford/AstraZeneca, Pfizer/BioNTech",10166273.0
Laos,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V",10048983.0
